slide_name,ground_truth,TLAgent,LLaVA-Med,M3D,MedGemma,GPT-4o-agent,GPT-4o-vision,GPT-5-vision,GPT-5.4
44,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
45,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Negative,Negative
46,Positive,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
47,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
48,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative
49,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
50,Negative,Positive,Positive,Positive,N/A,Negative,Positive,Positive,Negative
51,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
52,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative
53,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
54,Negative,Negative,Negative,Positive,N/A,Negative,Positive,Positive,Negative
55,Positive,Positive,Negative,Positive,Negative,Negative,Positive,Positive,Negative
56,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative
57,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
59,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative
60,Positive,Negative,Negative,Positive,N/A,Negative,Positive,Positive,Negative
61,Positive,Positive,Positive,Positive,N/A,Negative,Positive,Positive,Negative
62,Positive,Negative,Negative,Positive,Positive,Negative,Positive,Positive,Negative
63,Positive,Positive,Positive,Positive,N/A,Negative,Positive,Positive,Negative
64,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative
65,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive
66,Negative,Negative,Positive,Positive,N/A,Positive,Positive,Positive,Negative
67,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Negative
68,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
69,Negative,Positive,Negative,Positive,N/A,Negative,Positive,Negative,Negative
70,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative
71,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive
72,Positive,Negative,Negative,Positive,N/A,Negative,Positive,Positive,Positive
74,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
76,Positive,Positive,Positive,Positive,N/A,Negative,Positive,Positive,Negative
77,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Positive
78,Negative,Negative,Negative,Positive,N/A,Negative,Positive,Positive,Negative
80,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
81,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
82,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
84,Positive,Positive,Negative,Positive,N/A,Negative,Positive,Positive,Positive
85,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
86,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
88,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
89,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
90,Positive,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
92,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
93,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive
94,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative
95,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
96,Negative,Negative,Negative,Positive,Positive,Negative,Positive,Positive,Negative
97,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
98,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative
99,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative
100,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative
101,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
102,Positive,Positive,Negative,Positive,N/A,Negative,Positive,Positive,Negative
103,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
104,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
105,Positive,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
106,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
107,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive
108,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
109,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
114,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
116,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
117,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative
118,Positive,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
119,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
120,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
121,Negative,Negative,Positive,Positive,N/A,Negative,Positive,Positive,Negative
122,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
123,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
124,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
125,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
126,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Negative
127,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
128,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
129,Negative,Negative,Negative,Positive,Negative,Positive,Positive,Positive,Negative
130,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Negative,Negative
131,Positive,Positive,Positive,Positive,N/A,Positive,Positive,Positive,Negative
132,Positive,Positive,Negative,Positive,Negative,Negative,Positive,Positive,Negative
133,Negative,Negative,Negative,Positive,N/A,Negative,Positive,Positive,Negative
134,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
135,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
136,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
137,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Positive
138,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
139,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative
140,Positive,Positive,Positive,Positive,N/A,Negative,Positive,Positive,Negative
141,Negative,Negative,Negative,Positive,Positive,Negative,Positive,Positive,Negative
142,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
143,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
144,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
145,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative
146,Positive,Negative,Positive,Positive,N/A,Positive,Positive,Positive,Negative
147,Positive,N/A,Negative,Positive,Positive,Negative,Positive,Positive,Negative
149,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
150,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Positive
151,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
152,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
153,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
154,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative
155,Positive,Negative,Negative,Positive,N/A,Negative,Positive,Positive,Negative
156,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
159,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
160,Positive,N/A,Negative,Positive,N/A,Negative,Positive,Positive,Negative
161,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
162,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Negative,Negative
163,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
165,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
166,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
168,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
169,Negative,Negative,Positive,Positive,N/A,Positive,Positive,Positive,Negative
170,Negative,Negative,Negative,Positive,Negative,Positive,Positive,Positive,Negative
171,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
172,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
173,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
174,Positive,Positive,Negative,Positive,N/A,Negative,Positive,Positive,Negative
176,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
177,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
178,Negative,Negative,Positive,Positive,N/A,Positive,Positive,Positive,Negative
179,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Positive
180,Positive,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
181,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
182,Positive,Positive,Positive,Positive,N/A,Positive,Positive,Positive,Negative
183,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
184,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
186,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative
188,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
189,Positive,Positive,Negative,Positive,N/A,Negative,Positive,Positive,Positive
190,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
191,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative
192,Positive,Negative,Negative,Positive,Positive,Negative,Positive,Positive,Negative
193,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Negative,Negative
194,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Positive
195,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
196,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Negative
197,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
198,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Positive,Negative
199,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
200,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive
202,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
203,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative
204,Negative,Negative,Negative,Positive,N/A,Negative,Positive,Positive,Negative
205,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
207,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
209,Negative,N/A,Negative,Positive,N/A,Positive,Positive,Positive,Negative
210,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Positive
211,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
212,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative
214,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
215,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Positive,Negative
217,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
218,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive
219,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
221,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Negative,Negative
222,Positive,Positive,Negative,Positive,Negative,Negative,Positive,Positive,Negative
223,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
224,Negative,Negative,Negative,Positive,N/A,Negative,Positive,Positive,Negative
225,Positive,Positive,Positive,Positive,N/A,Negative,Positive,Positive,Negative
226,Negative,Negative,Positive,Positive,Positive,Negative,Positive,Positive,Negative
227,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative
228,Positive,Positive,Positive,Positive,N/A,Negative,Positive,Positive,Negative
229,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative
230,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Negative,Negative
231,Positive,Negative,Positive,Positive,N/A,Positive,Positive,Positive,Negative
233,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Positive
235,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Negative
236,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
237,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
238,Negative,Negative,Negative,Positive,Negative,Positive,Positive,Positive,Negative
240,Positive,Positive,Negative,Positive,N/A,Negative,Positive,Positive,Negative
241,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative
242,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
243,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
245,Positive,Positive,Negative,Positive,N/A,Negative,Positive,Positive,Negative
246,Positive,Positive,Positive,Positive,N/A,Negative,Positive,Positive,Negative
247,Positive,Positive,Negative,Positive,N/A,Negative,Positive,Positive,Positive
248,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
249,Positive,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
250,Positive,Positive,Negative,Positive,N/A,Negative,Positive,Positive,Negative
251,Positive,Positive,Negative,Positive,N/A,Negative,Positive,Positive,Negative
252,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
255,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
256,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
257,Positive,Positive,Negative,Positive,N/A,Negative,Positive,Positive,Negative
259,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
260,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
261,Positive,Positive,Positive,Positive,N/A,Negative,Positive,Positive,Negative
262,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Negative
264,Negative,Negative,Negative,Positive,N/A,Negative,Positive,Positive,Negative
265,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
266,Positive,Negative,Positive,Positive,N/A,Negative,Positive,Positive,Negative
267,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
268,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
269,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
270,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
