slide_name,ground_truth,TLAgent,LLaVA-Med,M3D,MedGemma,GPT-4o-agent,GPT-4o-vision,GPT-5-vision,GPT-5.4-vision,MAM
44,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
45,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
46,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
47,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
48,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
49,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
50,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
51,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
52,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
53,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
54,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
55,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
56,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
57,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
59,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive
60,Positive,Negative,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
61,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
62,Positive,Negative,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
63,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
64,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
65,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
66,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
67,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
68,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
69,Negative,Positive,Positive,Positive,N/A,Negative,Positive,Negative,Negative,Positive
70,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
71,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
72,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
74,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
76,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
77,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
78,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,N/A
80,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
81,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
82,Negative,Negative,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
84,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive
85,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
86,Negative,Negative,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
88,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
89,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
90,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
92,Negative,Negative,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
93,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
94,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
95,Negative,Negative,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
96,Negative,Negative,Positive,Positive,Positive,Negative,Positive,Positive,Negative,Positive
97,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
98,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
99,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
100,Negative,Negative,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
101,Positive,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Negative,Positive
102,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
103,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
104,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
105,Positive,Negative,Positive,Positive,Positive,Negative,Positive,Positive,Negative,Positive
106,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
107,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive
108,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
109,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
114,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
116,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
117,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
118,Positive,Negative,Positive,Positive,Positive,Negative,Positive,Positive,Negative,Positive
119,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
120,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
121,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
122,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
123,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Positive,Positive
124,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
125,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
126,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
127,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
128,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
129,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
130,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Negative,Positive
131,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
132,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
133,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
134,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
135,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
136,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
137,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive
138,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
139,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
140,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
141,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
142,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
143,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
144,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
145,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
146,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
147,Positive,N/A,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
149,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Positive,Negative,Positive
150,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
151,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
152,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
153,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
154,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
155,Positive,Negative,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
156,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
159,Positive,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Negative,Positive
160,Positive,N/A,Negative,Positive,Positive,Positive,Positive,Negative,Negative,Positive
161,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
162,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Negative,Negative,Positive
163,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
165,Negative,Negative,Positive,Positive,Negative,Negative,Positive,Positive,Negative,Positive
166,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
168,Negative,Negative,Negative,Positive,Negative,Positive,Positive,Negative,Negative,Positive
169,Negative,Negative,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
170,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
171,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
172,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
173,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive
174,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
176,Negative,Negative,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
177,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
178,Negative,Negative,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
179,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
180,Positive,Negative,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
181,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
182,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
183,Positive,Negative,Positive,Positive,Positive,Negative,Positive,Positive,Negative,Positive
184,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
186,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
188,Positive,Negative,Positive,Positive,Positive,Negative,Positive,Positive,Negative,Positive
189,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
190,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
191,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
192,Positive,Negative,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
193,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
194,Positive,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Negative,Positive
195,Positive,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Negative,Positive
196,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
197,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
198,Negative,Negative,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
199,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
200,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive
202,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
203,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
204,Negative,Negative,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
205,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
207,Positive,Positive,Negative,Positive,Negative,Negative,Positive,Positive,Negative,Positive
209,Negative,N/A,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
210,Positive,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Negative,Positive
211,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
212,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
214,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Positive,Negative,Positive
215,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
217,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
218,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Positive,Positive
219,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
221,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
222,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
223,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
224,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
225,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
226,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
227,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
228,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
229,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Positive,Negative,Positive
230,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
231,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
233,Positive,Positive,Negative,Positive,Negative,Negative,Positive,Positive,Negative,Positive
235,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
236,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
237,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
238,Negative,Negative,Positive,Positive,Negative,Negative,Positive,Positive,Negative,Positive
240,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
241,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
242,Negative,Negative,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
243,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
245,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
246,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
247,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive
248,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
249,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
250,Positive,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Negative,Positive
251,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
252,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
255,Negative,Negative,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
256,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
257,Positive,Positive,Negative,Positive,Negative,Negative,Positive,Positive,Negative,Positive
259,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
260,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
261,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
262,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
264,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Negative,Negative,Positive
265,Positive,Positive,Negative,Positive,Negative,Negative,Positive,Positive,Negative,Positive
266,Positive,Negative,Negative,Positive,Negative,Negative,Positive,Positive,Negative,Positive
267,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
268,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
269,Negative,Negative,Positive,Positive,Positive,Negative,Positive,Positive,Negative,Positive
270,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
