run,round,status,candidate_id,selected_or_representative_feature,plain_language_definition,partial_r,p_value,train_panel_r_after_round,test_panel_r_after_round,panel_size_after_round,n_variants_in_saved_screen
run_20260421_001115_585b70,4,accepted,ca1-reactive-cuff-severity,ca1_pyramidal_cuffed_fraction_r35um_ge2,Fraction of CA1 pyramidal neurons with at least 2 CA1 reactive astrocytes within 35 µm,-0.5044313938122955,0.002001853562266815,0.5730872800605321,0.5448762255267402,4,2
run_20260421_001115_585b70,5,accepted,ca1-reactive-dominant-cuff,ca1_pyramidal_supermajority_reactive_cuff_fraction_r35um_ge2,Fraction of CA1 pyramidal neurons with at least 2 nearby astrocyte-lineage cells within 35 um where most nearby astrocyte-lineage cells are reactive.,-0.5290669058538462,,0.5766015762796929,0.6299751072476224,5,2
run_20260421_001115_585b70,6,accepted,ca1-peripyramidal-reactive-hypertrophy,ca1_peripyramidal_reactive_area_median_r35um,Median contour area of CA1 reactive astrocytes within 35 µm of any CA1 pyramidal neuron,-0.3165415805298734,0.06393462313686092,0.594383040502962,0.636039780802572,6,2
run_20260421_001115_585b70,7,rejected,ca1-reactive-burden-area,ca1_pyramidal_mean_total_reactive_area_r35um,Mean per-CA1-pyramidal-neuron summed reactive-astrocyte contour area within 35 µm,-0.5438190234145125,0.0007339793134904789,0.594383040502962,0.636039780802572,6,2
run_20260421_001115_585b70,8,accepted,ca1-immune-admixed-reactive-cuff,ca1_pyramidal_immune_admixed_reactive_cuff_fraction_r50um_ra2_ly1,Fraction of CA1 pyramidal neurons with >=2 Reactive Astrocytes and >=1 Lymphocyte within 50 um.,-0.4751765905728468,0.003918998603012926,0.6231944129524977,0.6634589726758491,7,2
run_20260421_001115_585b70,9,accepted,ca1-conditional-immune-cuff,ca1_conditional_immune_cuff_fraction_r50um_ra2_ly1,"Among CA1 pyramidal neurons with a severe reactive cuff (>=2 reactive astrocytes within 50 um), fraction that also have >=1 nearby lymphocyte within 50 um.",-0.27791006928221096,0.10599674910874751,0.6317054963601209,0.6636691388199973,8,2
run_20260421_001115_585b70,10,accepted,ca1-conditional-dense-immune-cuff,ca1_conditional_immune_cuff_fraction_r50um_ra2_ly2,"Among CA1 pyramidal neurons with a severe reactive cuff (>=2 reactive astrocytes within 50 um), fraction that also have >=2 nearby lymphocytes within 50 um.",0.14741487023984762,0.3980683222767886,0.6599856621115242,0.6636691388199973,9,2
run_20260421_014751_94b13b,1,accepted,ca1-pyramidal-abundance,ca1_pyramidal_fraction,Fraction of classified CA1 cells that are pyramidal neurons.,0.2939762861987372,,0.29397628619873717,0.3799193320644981,1,2
run_20260421_014751_94b13b,2,accepted,ca1-reactive-astrocyte-enrichment,ca1_reactive_astrocyte_enrichment__reactive_over_astroglia,CA1 Reactive Astrocyte / (CA1 Reactive Astrocyte + CA1 Astrocyte),-0.49138642466817395,0.0027206212123134102,0.5071134820208294,0.5330247659754701,2,2
run_20260421_014751_94b13b,3,accepted,ca1-pyramidal-reactive-proximity,ca1_pyramidal_reactive_neighbor_fraction_r6_neighbor_fraction,Fraction of CA1 pyramidal neurons with nearby reactive astrocytes using the selected local-neighbor radius.,0.19858651392795423,0.25278081340003195,0.518868367175269,0.5762329802909031,3,2
run_20260421_014751_94b13b,4,accepted,ca1-reactive-astrocyte-hypertrophy,ca1_reactive_astrocyte_hypertrophy_median_log_area_shift,median(log contour area) of CA1 Reactive Astrocytes minus median(log contour area) of CA1 Astrocytes,-0.35878829326188655,0.034295853506710224,0.5407646898822062,0.5812326759954752,4,2
run_20260421_014751_94b13b,5,accepted,ca1-reactive-local-purity,ca1_reactive_local_purity_r60um,Fraction of local CA1 neighborhoods within 60 um where astrocyte-lineage cells are predominantly reactive.,-0.47814092641722866,0.0036707470486180382,0.5485049496758977,0.5824182979546179,5,2
run_20260421_014751_94b13b,6,accepted,ca1-reactive-neuron-exclusion,ca1_reactive_pyramidal_desert_t20,Fraction/extent of CA1 reactive-astrocyte neighborhoods with low local pyramidal-neuron presence using the selected t20 threshold.,-0.2544902281784801,0.14012639244525626,0.5526809608905663,0.6077839513076074,6,2
run_20260421_014751_94b13b,7,accepted,ca1-reactive-pyramidal-atrophy,ca1_reactive_pyramidal_log_area_shift_r60px,"Log-area shift of CA1 pyramidal neurons located within 60 pixels, about 30 um, of reactive astrocytes.",-0.11777635722907652,,0.5817056259555895,0.6344657825095299,7,2
run_20260421_014751_94b13b,8,accepted,ca1-reactive-oligodendrocyte-gap,ca1_reactive_oligodendrocyte_gap_r80px,"Fraction/extent of CA1 reactive-neighborhood pyramidal neurons with no or reduced oligodendrocyte neighbors within 80 pixels, about 40 um.",0.13508479814270355,0.43910522687755804,0.586968481760851,0.6533861038750627,8,2
run_20260421_014751_94b13b,9,accepted,ca1-reactive-corpora-amylacea-niche,ca1_reactive_corpora_amylacea_neighbor_fraction_r96px,Fraction of CA1 reactive-niche pyramidal neurons with at least one Corpora Amylacea within 96 px.,-0.1205700819144657,0.490244244292427,0.5907418490372726,0.6536142532832292,9,3
run_20260421_014751_94b13b,10,accepted,ca1-reactive-lymphocyte-niche,ca1_reactive_lymphocyte_neighbor_fraction_r128px,Fraction of CA1 reactive-neighborhood cells or pyramidal-neuron niches with at least one nearby lymphocyte within 128 pixels.,-0.34918538042307473,0.039781931306735525,0.628845068266383,0.7527174572944038,10,2
run_20260421_052101_efbee1,1,accepted,ca1-reactive-astro-fraction,ca1_reactive_astro_fraction,Reactive Astrocyte / (Astrocyte + Reactive Astrocyte) within CA1,-0.49138642466817395,0.0027206212123134102,0.49138642466817367,0.4844844831971136,1,2
run_20260421_052101_efbee1,2,accepted,ca1-peripyramidal-reactive-astro,ca1_pyramidal_near_reactive_astro_fraction_30um,Fraction of CA1 pyramidal neurons with at least one CA1 reactive astrocyte within ~30 um.,-0.5190730358441814,0.001398068312458943,0.551317575365083,0.5334900843865741,2,2
run_20260421_052101_efbee1,3,accepted,ca1-peripyramidal-reactive-astro-crowding,ca1_pyramidal_reactive_astro_crowding_fraction_k3_30um,Fraction of CA1 pyramidal neurons with at least 3 CA1 reactive astrocytes within 30 um.,-0.5246508556443269,0.0012142024978580987,0.5983945263934941,0.5841523026781287,3,2
run_20260421_052101_efbee1,4,accepted,ca1-peripyramidal-reactive-astro-area,ca1_peripyramidal_reactive_astro_area_median_30um_um2,Median area of CA1 reactive astrocytes whose centroids are within 30 microns of any CA1 pyramidal neuron.,-0.37545094595780576,0.026246324999386884,0.6306591842826829,0.6072218360103573,4,2
run_20260421_052101_efbee1,5,accepted,ca1-peripyramidal-astro-reactivity-index,ca1_peripyramidal_astro_reactivity_index_30um,CA1 peripyramidal astrocyte-lineage reactivity index using a 30 um radius around CA1 pyramidal neurons.,-0.48661801692015805,0.0030345198003220116,0.6322949177783994,0.6177863496119865,5,2
run_20260421_052101_efbee1,6,accepted,ca1-reactive-astro-pyramidal-isolation,ca1_pyramidal_reactive_astro_isolated_fraction_k5_30um,Fraction of CA1 pyramidal neurons in reactive-astrocyte neighborhoods with a sparse or isolated configuration based on up to 5 nearby cells within 30 um.,-0.5243735359829851,0.0012228139838885686,0.6347167578530458,0.6452811391738926,6,2
run_20260421_052101_efbee1,7,accepted,ca1-peripyramidal-reactive-astro-lymphocyte-contact,ca1_peripyramidal_reactive_astro_lymphocyte_contact_fraction_20um,More local version: fraction of CA1 peripyramidal reactive astrocytes with at least one CA1 lymphocyte within 20 um.,0.1762479232959807,,0.6490732198896327,0.6701190437560683,7,2
run_20260421_052101_efbee1,8,accepted,ca1-pyramidal-reactive-astro-lymphocyte-triad,ca1_pyramidal_reactive_astro_lymphocyte_triad_fraction_25um,Fraction of CA1 pyramidal neurons with both nearby reactive astrocytes and nearby lymphocytes within 25 um.,0.16041283077161586,0.35729581367689345,0.6590498646303795,0.68218141615368,8,3
run_20260421_052101_efbee1,9,accepted,ca1-ra-exposed-pyramidal-lymphocyte-enrichment,ca1_ra_exposed_pyramidal_lym_ge1_fraction_25um,Fraction of CA1 reactive-astro-exposed pyramidal neurons with at least 1 lymphocyte within 25 um.,0.15933151706227072,0.3605886428848102,0.6594286208567729,0.6835415297078299,9,2
run_20260421_052101_efbee1,10,accepted,ca1-peripyramidal-ra-lymphocyte-area-burden,ca1_peripyramidal_ra_lymphocyte_area_burden_20um,"Peripyramidal reactive astrocytes within 30 um of CA1 pyramidal neurons; score is summed area of lymphocyte-contacting cells / peripyramidal reactive astrocyte count, with lymphocyte contact defined within 20 um.",0.2106638897720901,,0.7051978981848749,0.7048623995317841,10,2
