slide_name,ground_truth,TLAgent,Quilt-LLaVA,LLaVA-Med,MedGemma,GPT-4o-agent,GPT-4o-vision,GPT-5-vision,GPT-5.4-vision,MAM
AI-LNCO2-0014_E_HE,7.9444549766183075,6.087594226275738,1.0,N/A,N/A,12.13392,7.8,1600.0,8.7,0.25
AI-LNCO2-0014_F_HE,6.335110076103479,6.354566215925707,0.08952,N/A,N/A,14.50331,4.964,1500.0,8.9,N/A
AI-LNCO2-0015_D_HE,11.234166176329524,5.777219970547147,N/A,N/A,N/A,16.4312,5.37,4000.0,7.7,0.2
AI-LNCO2-0015_E_HE,8.690725327833212,3.653834730147973,N/A,N/A,0.15,16.107,5.49,2500.0,8.1,0.5
AI-LNCO2-0016_C_HE,10.85970157741869,8.849727823711424,N/A,N/A,N/A,33.48361,7.57,5200.0,8.1,0.5
AI-LNCO2-0016_D_HE,16.349956719131686,6.79957689477557,N/A,N/A,N/A,16.05,6.4,10500.0,13,0.5
AI-LNCO2-0016_E_HE,10.961772204644909,7.72626931567329,0.101,N/A,N/A,15.84989,6.733,3600.0,9.5,0.5
AI-LNCO2-0017_2E_HE,17.94935572951126,11.02040369003259,N/A,N/A,N/A,18.7,7.0,800.0,9,0.5
AI-LNCO2-0017_2F_HE,15.48843800214992,15.480328212728892,N/A,N/A,N/A,18.29286,6.03,8800.0,13.1,N/A
AI-LNCO2-0018_D_HE,2.7166368778709105,1.857164012380274,N/A,N/A,N/A,6.225,5.61,6000.0,8.3,0.5
AI-LNCO2-0018_E_HE,12.360097473835427,12.299385570081132,N/A,N/A,N/A,30.09573,13.83,7100.0,10.1,0.5
AI-LNCO2-0018_F_HE,12.333467725694929,6.828708988034488,N/A,N/A,N/A,13.26,11.26,5500.0,7.8,0.5
AI-LNCO2-0018_G_HE,2.8814036339749363,4.42373433039256,N/A,N/A,N/A,13.86,7.9,4800.0,8.5,0.459896983075791
AI-LNCO2-0019_C_HE,N/A,17.31124291891336,0.0,N/A,N/A,7.52393,6.07,2800.0,7.5,0.5
AI-LNCO2-0019_D_HE,6.426930052713906,6.089257851739636,N/A,N/A,N/A,4.16912,6.71,3900.0,7.2,0.3
AI-LNCO2-0019_E_HE,4.256773740396373,4.443264,5.0,N/A,N/A,11.53,5.71,8100.0,10.8,0.1
AI-LNCO2-0020_D_HE,7.9381723752367535,6.127558881868513,0.1476350790655171,N/A,N/A,15.29801,8.21,2100.0,7.2,0.0
AI-LNCO2-0020_E_HE,11.13433067726779,8.405827518574094,N/A,N/A,1.103,16.571,7.901,0.0,6.4,0.147
AI-LNCO2-0020_F_HE,13.882047314852551,4.766690043197347,N/A,N/A,N/A,21.111,9.38,3200.0,6.4,0.835761942
AI-LNCO2-0022_D_HE,4.789996102049846,4.434516637239623,7.358,N/A,N/A,11.97204,5.83,4000.0,8.6,3.2
AI-LNCO2-0022_E_HE,4.50264725361166,3.629062683639728,N/A,N/A,N/A,18.90361,6.26,7400.0,7.1,6.789
AI-LNCO2-0023_C_HE,32.851287819071686,25.30567448691881,0.1,N/A,N/A,25.833,24.933,5200.0,13.1,0.5
AI-LNCO2-0024_C_HE,10.546620501917277,10.17969434234281,0.0,N/A,N/A,20.948,8.89,4900.0,11,0.5
AI-LNCO2-0024_D_HE,7.81115469561837,7.005908282645188,0.16079,N/A,N/A,13.84,6.55,4700.0,7.9,0.5
AI-LNCO2-0024_E_HE,6.805732326140195,7.520941029528056,N/A,N/A,N/A,12.04,4.535,2900.0,11.7,0.459896983075791
AI-LNCO2-0024_F_HE,9.671906957424069,10.929993709208782,N/A,N/A,N/A,10.6181,6.95,7000.0,9.6,0.5
AI-LNCO2-0024_G_HE,9.179116713272917,8.674245241804043,0.0735835172921265,N/A,N/A,16.041,7.87,0.0,7.3,0.5
AI-LNCO2-0026_D_HE,15.125031307891833,7.511763550783752,N/A,N/A,N/A,16.416,6.48,2300.0,7.1,N/A
AI-LNCO2-0027_D_HE,10.074071658914873,9.46971553906929,N/A,N/A,N/A,14.53274,11.88,2100.0,8.2,0.5
AI-LNCO2-0027_E_HE,7.83468749223973,6.447411131610417,N/A,N/A,N/A,15.34952,4.268,2700.0,7.3,0.25
AI-LNCO2-0028_D_HE,5.246904541098848,4.168049985842749,0.7358351729212655,N/A,N/A,20.27962,3.73,3200.0,11.6,0.5
AI-LNCO2-0028_E_HE,8.075193047284088,7.132015747737857,N/A,N/A,N/A,18.13834,5.74,3500.0,5.9,1.47
AI-LNCO2-0029_D_HE,4.5817209877823855,4.017660044150111,N/A,N/A,N/A,17.314,2.02,3160.0,5.7,0.3
AI-LNCO2-0029_E_HE,2.975425032719188,2.4916469862291324,5.0,N/A,N/A,12.546,5.22,4800.0,8.2,0.1
AI-LNCO2-0030_E_HE,5.440339490904371,5.494772478096372,0.1,N/A,N/A,13.51729,5.37,5200.0,7.1,0.5
AI-LNCO2-0030_F_HE,5.187206662963893,3.2576811804530768,N/A,N/A,N/A,21.18469,5.372,2400.0,7.1,0.5
AI-LNCO2-0030_G_HE,4.480716158854044,3.899704271235729,N/A,N/A,N/A,18.668,5.26,2500.0,7.3,0.3
AI-LNCO2-0031_F_HE,12.595328757667732,4.658597991591765,N/A,N/A,N/A,15.44518,6.061,1700.0,11,0.3
AI-LNCO2-0032_F_HE,8.069412971224986,9.576239013977144,N/A,N/A,N/A,16.2,5.85,1500.0,12.6,0.5
AI-LNCO2-0033_D_HE,4.080551990289934,5.639647379084442,N/A,N/A,N/A,13.856,5.592,3500.0,3,0.5
AI-LNCO2-0033_E_HE,5.294980720728399,4.99711728326383,N/A,N/A,N/A,14.15747,4.95,5200.0,10.4,0.459896983075791
AI-LNCO2-0034_E_HE,10.3550548486158,5.583859404272175,0.00336,N/A,N/A,19.80132,5.98,3000.0,7.2,0.5
AI-LNCO2-0034_F_HE,9.860758406470053,7.343163132325366,N/A,N/A,N/A,13.186,7.08,5200.0,8.7,0.3
AI-LNCO2-0035_C_HE,13.370817660491824,16.256223874297216,N/A,N/A,N/A,40.07587,12.7,6000.0,11,0.5
AI-LNCO2-0035_D_HE,13.766171233820254,8.547301226716161,0.7358351729212655,N/A,N/A,16.122,4.66,8100.0,16.1,0.5
AI-LNCO2-0035_E_HE,14.71838359725085,12.102922056796444,20.0,N/A,N/A,33.00366,17.5,9600.0,11.1,0.729584361
AI-LNCO2-0036_C_HE,N/A,12.064135719988665,N/A,N/A,N/A,35.43165,12.214,6300.0,7,0.873946152
AI-LNCO2-0036_D_HE,7.8483451078602595,6.430929992352922,0.7358351729212655,N/A,N/A,14.11332,4.71,3000.0,6.2,0.5
AI-LNCO2-0036_E_HE,6.96157887148201,6.9205601187625625,N/A,N/A,N/A,20.34584,7.06,4000.0,9.8,0.5
AI-LNCO2-0036_F_HE,7.401064849933592,4.823128734365703,N/A,N/A,N/A,18.66078,5.445,3310.0,17.4,0.0
AI-LNCO2-0037_C_HE,25.681405866264768,22.93874997021596,0.621713,N/A,N/A,36.0,15.96,4800.0,10.2,0.5
AI-LNCO2-0037_E_HE,8.368207783592638,6.189594242860846,N/A,N/A,N/A,17.43194,4.16,4200.0,8.6,0.5
AI-LNCO2-0037_F_HE,8.229013518246987,7.416928240459,N/A,N/A,N/A,19.05686,6.78,5200.0,9.2,0.423695187
AI-LNCO2-0037_G_HE,22.26104080583444,17.537074430003575,N/A,N/A,N/A,18.89,14.31,4200.0,10.8,0.5
AI-LNCO2-0038_D_HE,5.465688283674823,4.743255395587895,N/A,N/A,N/A,16.762,6.4,3500.0,14.8,0.5
AI-LNCO2-0038_E_HE,3.6139019960425576,5.222460220129862,N/A,N/A,N/A,15.4,4.498,3600.0,7.4,0.5
AI-LNCO2-0038_F_HE,11.897444558915424,10.369460688757185,N/A,N/A,N/A,N/A,6.01,5500.0,12.8,0.5
AI-LNCO2-0039_C_HE,3.710190575829859,5.656579256297188,0.36,N/A,N/A,2.56763,11.86,4000.0,9.7,0.5
AI-LNCO2-0039_D_HE,2.4819431889138586,2.773815573947132,N/A,N/A,0.15,15.08462,6.06,5200.0,11.6,0.5
AI-LNCO2-0039_E_HE,3.5850845090062484,5.067762598012768,18.4,N/A,N/A,13.87785,7.51,5200.0,10.6,N/A
AI-LNCO2-0039_F_HE,3.771667567175502,4.376704061920118,N/A,N/A,N/A,16.99043,6.34,3800.0,7,N/A
AI-LNCO2-0039_G_HE,3.39352152703007,3.642198284257419,N/A,N/A,15.0,18.47682,2.5,3000.0,8.3,0.25
AI-LNCO2-0039_H_HE,2.176246481956786,2.0731756082779507,N/A,N/A,N/A,15.76158940397351,6.22,2200.0,8.5,0.25
AI-LNCO2-0039_L_HE,12.281294148566705,11.968598293810686,0.14771695356591,N/A,N/A,14.20162,7.0,960.0,8.1,0.5
AI-LNCO2-0040_C_HE,8.531485181886303,10.886075244528628,2.823,N/A,N/A,43.02616,23.15,12700.0,14.2,0.421375
AI-LNCO2-0040_D_HE,8.183647215004234,9.478116885278032,N/A,N/A,N/A,18.53569,7.02,8400.0,11.2,0.5
AI-LNCO2-0040_E_HE,8.927445489311118,9.09179073118829,N/A,N/A,N/A,21.64091,5.28,3200.0,9.3,0.5
AI-LNCO2-0040_F_HE,12.19699675515483,7.229557169486931,N/A,N/A,N/A,14.599,6.7,5300.0,9.4,0.5
AI-LNCO2-0041_D_HE,7.252765790339199,4.635761589403973,0.7358351729212655,N/A,N/A,14.60633,6.1,3900.0,7.9,0.5
AI-LNCO2-0041_E_HE,15.608821287195582,11.794425603476906,0.7358351729212655,N/A,N/A,17.85,2.8416,4000.0,6.7,0.5
AI-LNCO2-0042_A_HE,6.333050810395103,7.62394841998815,0.0785661915151311,N/A,N/A,18.53569,8.06,6200.0,8.5,0.25
AI-LNCO2-0042_E_HE,12.586474024921609,8.888754878161778,N/A,N/A,N/A,17.85136,5.43,8700.0,8.8,0.5
AI-LNCO2-0042_F_HE,15.440857835431803,7.173558940978707,N/A,N/A,N/A,14.28,12.8,3200.0,8,0.5
AI-LNCO2-0042_G_HE,4.482677176073019,4.664289622293003,N/A,N/A,N/A,17.40986,3.24,2500.0,8.6,0.5
AI-LNCO2-0043_F_HE,2.735023336615886,3.234797035371688,0.021075,N/A,N/A,6.76233,7.14,1800.0,5.8,0.5
AI-LNCO2-0044_C_HE,10.063658514504183,8.963194019605554,10.0,N/A,0.847,14.455,59.3,10700.0,8.7,0.5
AI-LNCO2-0044_E_HE,6.601357256966902,7.924271805470219,N/A,N/A,N/A,19.23473,9.11,2700.0,9.6,0.5
AI-LNCO2-0044_F_HE,7.591801122175873,6.673079804851304,N/A,N/A,N/A,14.194,6.95,7100.0,7,0.459896983075791
AI-LNCO2-0044_K_HE,3.2952858556641345,3.50863000916806,N/A,N/A,N/A,17.81457,6.22,0.0,8.9,0.5
AI-LNCO2-0045_D_HE,3.975475704213276,3.754907583042922,10.0,N/A,0.15,17.83581,2.68,6300.0,12.9,0.728541936
AI-LNCO2-0045_E_HE,7.475972731956702,6.823132094694223,N/A,N/A,21.17479,12.634,6.7,6000.0,10.7,1.102
AI-LNCO2-0045_F_HE,5.431231670013263,5.449984419644165,N/A,N/A,N/A,7.891,15.81,4700.0,14.6,0.5
AI-LNCO2-0048_C_HE,11.407838276574635,8.624543957267743,N/A,N/A,N/A,23.12233,12.99,8800.0,10.4,0.1
AI-LNCO2-0048_E_HE,10.05613078692691,9.877813648574168,N/A,N/A,0.1125,13.07579,8.35,4500.0,13.2,0.5
AI-LNCO2-0048_F_HE,7.0326486555757874,7.6925435124745425,1.5,N/A,N/A,16.17,5.814,1800.0,8.7,1.4716703458425313
AI-LNCO2-0048_G_HE,6.9480943383923135,4.753312963379855,N/A,N/A,N/A,13.31,1.6,4700.0,9.6,0.1
AI-LNCO2-0049_D_HE,18.18600774916604,22.607537397917863,0.62659,N/A,N/A,45.257,10.3,5600.0,9,0.5
AI-LNCO2-0049_E_HE,15.357049581538286,5.5866741108907805,0.625,N/A,N/A,17.462,16.9,6100.0,15.4,0.5
AI-LNCO2-0050_E_HE,9.909583808465172,5.999434845168294,N/A,N/A,N/A,12.74,5.8,4600.0,9.6,0.1
AI-LNCO2-0050_F_HE,3.389321642804456,3.944570022656989,N/A,N/A,N/A,14.19657,7.06,3600.0,2.9,0.5
