slide_name,ground_truth,TLAgent,TLAgent-removing knowledge,Quilt-LLaVA,LLaVA-Med,MedGemma,GPT-4o-agent,GPT-4o-vision,GPT-5-vision,GPT-5.4-vision,MAM,NOVA
AI-LNCO2-0037_G_HE,22.26104080583444,17.537074430003575,9.6837,0.75,N/A,N/A,19.38,16.2,8.9,11,0.5,21.34
AI-LNCO2-0038_D_HE,5.465688283674823,4.743255395587895,4.6351,N/A,N/A,N/A,16.91,4.08,5.2,10.8,0.5,6.71
AI-LNCO2-0038_E_HE,3.6139019960425576,5.222460220129862,6.2593,N/A,N/A,N/A,13.64974,6.22,3.6,8.4,0.5,18.6
AI-LNCO2-0038_F_HE,11.897444558915424,10.369460688757185,7.7386,7.36,N/A,N/A,19.06549,6.99,4,11.5,0.05,14.67
AI-LNCO2-0039_C_HE,3.710190575829859,5.656579256297188,15.0043,N/A,N/A,N/A,22.86823,10.6,5.6,6.8,0.5,4.5
AI-LNCO2-0039_D_HE,2.4819431889138586,2.773815573947132,7.3874,N/A,N/A,0.15,15.17292,6.4,7,12.4,0.2,20.78
AI-LNCO2-0039_E_HE,3.5850845090062484,5.067762598012768,4.3860,N/A,N/A,N/A,2.84783,7.137,7.5,8.5,0.5,18.1
AI-LNCO2-0039_F_HE,3.771667567175502,4.376704061920118,6.0732,N/A,N/A,N/A,15.34216,9.04,4,7.7,0.845791326,5.3
AI-LNCO2-0039_G_HE,3.39352152703007,3.642198284257419,4.3876,N/A,N/A,15.0,18.565,4.45,3.6,10.8,N/A,16.53
AI-LNCO2-0039_H_HE,2.176246481956786,2.0731756082779507,5.8643,0.10625,N/A,N/A,N/A,4.65,6,6.5,0.25,3.36
AI-LNCO2-0039_L_HE,12.281294148566705,11.968598293810686,5.6579,N/A,N/A,N/A,17.47609,3.054,2.6,6.1,0.5,1.99
AI-LNCO2-0040_C_HE,8.531485181886303,10.886075244528628,10.3115,0.1,N/A,N/A,44.29662,15.2,6.3,9.8,N/A,45.4
AI-LNCO2-0040_D_HE,8.183647215004234,9.478116885278032,6.5274,N/A,N/A,N/A,18.87417,6.99,5.2,15,0.5,18.5
AI-LNCO2-0040_E_HE,8.927445489311118,9.09179073118829,7.4765,N/A,N/A,N/A,14.40029,7.0,4.7,7.4,0.5,21.71
AI-LNCO2-0040_F_HE,12.19699675515483,7.229557169486931,7.1224,N/A,N/A,N/A,15.09198,6.77,5.2,12.7,0.25,18.49
AI-LNCO2-0041_D_HE,7.252765790339199,4.635761589403973,4.9635,0.147665235390625,N/A,N/A,15.55556,6.44,2.9,9.3,0.5,16.95
AI-LNCO2-0041_E_HE,15.608821287195582,11.794425603476906,7.1491,N/A,N/A,N/A,19.24945,6.03,3.7,6.6,0.25,20.13
AI-LNCO2-0042_A_HE,6.333050810395103,7.62394841998815,5.3147,0.124,N/A,N/A,14.79,10.15,3.8,7.4,0.5,18.53
AI-LNCO2-0042_E_HE,12.586474024921609,8.888754878161778,8.0039,N/A,N/A,N/A,12.2,3.02,4.5,11.2,N/A,0.61
AI-LNCO2-0042_F_HE,15.440857835431803,7.173558940978707,6.1762,N/A,N/A,N/A,14.28,7.47,5,7.8,0.4,18.14
AI-LNCO2-0042_G_HE,4.482677176073019,4.664289622293003,7.5817,N/A,N/A,N/A,19.595,2.83,2.8,10,0.4,19.53
AI-LNCO2-0043_F_HE,2.735023336615886,3.234797035371688,3.8100,N/A,N/A,N/A,14.55,8.5,2.7,8.5,0.5,8.09
AI-LNCO2-0044_C_HE,10.063658514504183,8.963194019605554,9.1771,N/A,N/A,0.847,16.54,36.25,12.4,5.7,0.8,37.41
AI-LNCO2-0044_E_HE,6.601357256966902,7.924271805470219,5.4770,N/A,N/A,N/A,5.42311,7.18,3.2,11.8,0.25,21.12
AI-LNCO2-0044_F_HE,7.591801122175873,6.673079804851304,4.5486,N/A,N/A,N/A,10.471,3.94,3.3,13.8,N/A,19.09
AI-LNCO2-0044_K_HE,3.2952858556641345,3.50863000916806,6.4196,N/A,N/A,N/A,12.56806,2.32,0,7.4,0.0,6.71
AI-LNCO2-0045_D_HE,3.975475704213276,3.754907583042922,6.3630,0.70581,N/A,0.15,17.84,5.42,8.7,13.1,0.45,18.67
AI-LNCO2-0045_E_HE,7.475972731956702,6.823132094694223,5.2504,N/A,N/A,21.17479,17.84287,8.89,4.2,8.7,0.0,16.32
AI-LNCO2-0045_F_HE,5.431231670013263,5.449984419644165,7.3021,0.02,N/A,N/A,N/A,12.7,6.8,14.2,0.5,4.74
AI-LNCO2-0048_C_HE,11.407838276574635,8.624543957267743,17.5571,5.0,N/A,N/A,28.34532,13.55,8.5,5.4,0.25,24.82
AI-LNCO2-0048_E_HE,10.05613078692691,9.877813648574168,7.0660,N/A,N/A,0.1125,12.99485,2.83,3.9,10.1,N/A,18.0
AI-LNCO2-0048_F_HE,7.0326486555757874,7.6925435124745425,6.6343,N/A,N/A,N/A,14.59,6.806,4,9.9,N/A,16.98
AI-LNCO2-0048_G_HE,6.9480943383923135,4.753312963379855,6.0780,N/A,N/A,N/A,13.3039,6.26,7.5,10,0.0,16.94
AI-LNCO2-0049_D_HE,18.18600774916604,22.607537397917863,19.2686,14.57,N/A,N/A,11.75879,18.7,5,11.8,0.5,0.626
AI-LNCO2-0049_E_HE,15.357049581538286,5.5866741108907805,8.1055,N/A,N/A,N/A,21.12907,20.88,7.3,13.8,0.4959,0.0
AI-LNCO2-0050_E_HE,9.909583808465172,5.999434845168294,6.1245,5.0,N/A,N/A,1.68314,6.91,5.8,5.4,0.5,14.07
AI-LNCO2-0050_F_HE,3.389321642804456,3.944570022656989,4.0156,N/A,N/A,N/A,N/A,6.59,3.2,7.1,0.4959,16.96
